

Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
--------------------------------------------------
Leaf Size    In-Sample RMSE       Out-of-Sample RMSE  
68           0.007486             0.008177            
69           0.007486             0.008177            
70           0.007486             0.008177            
71           0.007486             0.008177            
72           0.007486             0.008177            
73           0.007486             0.008177            
74           0.007486             0.008177            
75           0.007486             0.008177            
76           0.007486             0.008177            
77           0.007486             0.008177            
78           0.007486             0.008177            
79           0.007486             0.008177            
80           0.007942             0.008489            
81           0.008295             0.008585            
82           0.008295             0.008585            
83           0.008295             0.008585            
84           0.008295             0.008585            
85           0.008295             0.008585            
86           0.008295             0.008585            
87           0.008295             0.008585            
88           0.008295             0.008585            
89           0.008295             0.008585            
90           0.008295             0.008585            
91           0.008295             0.008585            
92           0.008295             0.008585            
93           0.008295             0.008585            
94           0.008295             0.008585            
95           0.008295             0.008585            
96           0.008295             0.008585            
97           0.008295             0.008585            
98           0.008295             0.008585            
99           0.008295             0.008585            


Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
--------------------------------------------------
Leaf Size    In-Sample RMSE       Out-of-Sample RMSE  
-----------  -------------------- --------------------
1            0.000000             0.007292            
2            0.002498             0.007106            
3            0.003434             0.006757            
4            0.003443             0.006757            
5            0.004667             0.006368            
6            0.004701             0.006381            
7            0.004701             0.006381            
8            0.004701             0.006381            
9            0.004738             0.006360            
10           0.005343             0.006254            
11           0.005507             0.006206            
12           0.005507             0.006206            
13           0.005507             0.006206            
14           0.005507             0.006206            
15           0.005507             0.006206            
16           0.005507             0.006206            
17           0.005507             0.006206            
18           0.005507             0.006206            
19           0.005539             0.006198            
20           0.006406             0.006485            
21           0.006781             0.006564            
22           0.006781             0.006564            
23           0.006781             0.006564            
24           0.006781             0.006564            
25           0.006781             0.006564            
26           0.006781             0.006564            
27           0.006781             0.006564            
28           0.006781             0.006564            
29           0.006781             0.006564            
30           0.006781             0.006564            
31           0.006781             0.006564            
32           0.006781             0.006564            
33           0.006781             0.006564            
34           0.006781             0.006564            
35           0.006781             0.006564            
36           0.006781             0.006564            
37           0.006781             0.006564            
38           0.006781             0.006564            
39           0.006781             0.006564            
40           0.007336             0.007197            
41           0.007545             0.007432            
42           0.007545             0.007432            
43           0.007545             0.007432            
44           0.007545             0.007432            
45           0.007545             0.007432            
46           0.007545             0.007432            
47           0.007545             0.007432            
48           0.007545             0.007432            
49           0.007545             0.007432            
50           0.007545             0.007432            
51           0.007545             0.007432            
52           0.007545             0.007432            
53           0.007545             0.007432            
54           0.007545             0.007432            
55           0.007545             0.007432            
56           0.007545             0.007432            
57           0.007545             0.007432            
58           0.007545             0.007432            
59           0.007545             0.007432            
60           0.007545             0.007432            
61           0.007545             0.007432            
62           0.007545             0.007432            
63           0.007545             0.007432            
64           0.007545             0.007432            
65           0.007545             0.007432            
66           0.007545             0.007432            
67           0.007545             0.007432            
68           0.007545             0.007432            
69           0.007545             0.007432            
70           0.007545             0.007432            
71           0.007545             0.007432            
72           0.007545             0.007432            
73           0.007545             0.007432            
74           0.007545             0.007432            
75           0.007545             0.007432            
76           0.007545             0.007432            
77           0.007545             0.007432            
78           0.007545             0.007432            
79           0.007545             0.007432            
80           0.007945             0.007944            
81           0.008315             0.007937            
82           0.008315             0.007937            
83           0.008315             0.007937            
84           0.008315             0.007937            
85           0.008315             0.007937            
86           0.008315             0.007937            
87           0.008315             0.007937            
88           0.008315             0.007937            
89           0.008315             0.007937            
90           0.008315             0.007937            
91           0.008315             0.007937            
92           0.008315             0.007937            
93           0.008315             0.007937            
94           0.008315             0.007937            
95           0.008315             0.007937            
96           0.008315             0.007937            
97           0.008315             0.007937            
98           0.008315             0.007937            
99           0.008315             0.007937            


Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
--------------------------------------------------
Leaf Size    In-Sample RMSE       Out-of-Sample RMSE  
-----------  -------------------- --------------------
1            0.000478             0.008672            
2            0.002391             0.008501            
3            0.003217             0.008308            
4            0.003236             0.008308            
5            0.004561             0.007552            
6            0.004658             0.007509            
7            0.004658             0.007509            
8            0.004687             0.007489            
9            0.004703             0.007495            
10           0.005524             0.007323            
11           0.005691             0.007459            
12           0.005691             0.007459            
13           0.005691             0.007459            
14           0.005691             0.007459            
15           0.005691             0.007459            
16           0.005691             0.007459            
17           0.005717             0.007420            
18           0.005717             0.007420            
19           0.005717             0.007420            
20           0.006315             0.007413            
21           0.006394             0.007426            
22           0.006411             0.007471            
23           0.006411             0.007471            
24           0.006411             0.007471            
25           0.006411             0.007471            
26           0.006411             0.007471            
27           0.006411             0.007471            
28           0.006411             0.007471            
29           0.006411             0.007471            
30           0.006411             0.007471            
31           0.006411             0.007471            
32           0.006411             0.007471            
33           0.006411             0.007471            
34           0.006411             0.007471            
35           0.006411             0.007471            
36           0.006411             0.007471            
37           0.006448             0.007464            
38           0.006448             0.007464            
39           0.006448             0.007464            
40           0.006807             0.007727            
41           0.007115             0.007727            
42           0.007115             0.007727            
43           0.007130             0.007769            
44           0.007130             0.007769            
45           0.007130             0.007769            
46           0.007130             0.007769            
47           0.007130             0.007769            
48           0.007130             0.007769            
49           0.007130             0.007769            
50           0.007130             0.007769            
51           0.007130             0.007769            
52           0.007130             0.007769            
53           0.007130             0.007769            
54           0.007130             0.007769            
55           0.007130             0.007769            
56           0.007130             0.007769            
57           0.007130             0.007769            
58           0.007130             0.007769            
59           0.007130             0.007769            
60           0.007130             0.007769            
61           0.007130             0.007769            
62           0.007130             0.007769            
63           0.007130             0.007769            
64           0.007130             0.007769            
65           0.007130             0.007769            
66           0.007130             0.007769            
67           0.007130             0.007769            
68           0.007130             0.007769            
69           0.007130             0.007769            
70           0.007130             0.007769            
71           0.007130             0.007769            
72           0.007130             0.007769            
73           0.007130             0.007769            
74           0.007130             0.007769            
75           0.007130             0.007769            
76           0.007130             0.007769            
77           0.007130             0.007769            
78           0.007130             0.007769            
79           0.007130             0.007769            
80           0.007587             0.008204            
81           0.007870             0.008505            
82           0.007870             0.008505            
83           0.007870             0.008505            
84           0.007870             0.008505            
85           0.007870             0.008505            
86           0.007870             0.008505            
87           0.007870             0.008505            
88           0.007870             0.008505            
89           0.007870             0.008505            
90           0.007870             0.008505            
91           0.007870             0.008505            
92           0.007870             0.008505            
93           0.007870             0.008505            
94           0.007870             0.008505            
95           0.007870             0.008505            
96           0.007870             0.008505            
97           0.007870             0.008505            
98           0.007870             0.008505            
99           0.007870             0.008505            


Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
--------------------------------------------------
Leaf Size    In-Sample RMSE       Out-of-Sample RMSE  
-----------  -------------------- --------------------
1            0.000457             0.007426            
2            0.002096             0.007581            
3            0.002842             0.007345            
